Epochs,Test data prediction,Training data prediction,,
1,4070,4160,,
2,3947,4202,,
3,4205,4392,,
4,4006,4347,,
5,4292,4486,,
6,4147,4469,,
7,4112,4411,,
8,4131,4429,,
9,4255,4516,,
10,4156,4467,,
11,4386,4581,,
12,4222,4470,,
13,4319,4548,,
14,4161,4499,,
15,4321,4655,,
16,4041,4373,,
17,4053,4422,,
18,4345,4650,,
19,4292,4605,,
20,4374,4663,,
21,4317,4631,,
22,4319,4674,,
23,4319,4668,,
24,4239,4641,,
25,4184,4579,,
26,4210,4613,,
27,4236,4566,,
28,4210,4545,,
29,4300,4701,,
30,4389,4724,4389,
35,4263,4700,,
40,4186,4653,,
45,4223,4647,,
50,4354,4816,,
